prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,gpt-4.1-mini,in-front,behind,0,medium,2.39,5
2,gpt-4.1-mini,in-front,behind,0,medium,3.83,5
3,gpt-4.1-mini,in-front,behind,0,medium,3.70,5
4,gpt-4.1-mini,in-front,behind,0,medium,2.80,5
5,gpt-4.1-mini,in-front,in-front-left,0,medium,3.84,5
6,gpt-4.1-mini,in-front,in-front-right,0,medium,2.52,5
7,gpt-4.1-mini,in-front,behind,0,medium,9.88,5
8,gpt-4.1-mini,in-front,behind,0,medium,2.72,5
9,gpt-4.1-mini,in-front,in-front-right,0,medium,6.57,5
10,gpt-4.1-mini,in-front,behind,0,medium,4.33,5
11,gpt-4.1-mini,in-front,behind,0,medium,3.13,5
12,gpt-4.1-mini,in-front,right,0,medium,3.94,5
13,gpt-4.1-mini,in-front,behind,0,medium,3.03,5
14,gpt-4.1-mini,in-front,behind,0,medium,2.08,5
15,gpt-4.1-mini,in-front,right,0,medium,3.17,5
16,gpt-4.1-mini,in-front,behind,0,medium,3.72,5
17,gpt-4.1-mini,in-front,in-front-right,0,medium,2.32,5
18,gpt-4.1-mini,in-front,behind,0,medium,8.34,5
19,gpt-4.1-mini,in-front,behind,0,medium,2.61,5
20,gpt-4.1-mini,in-front,behind,0,medium,2.66,5
21,gpt-4.1-mini,in-front,in-front-left,0,medium,2.29,5
22,gpt-4.1-mini,in-front,behind,0,medium,4.23,5
23,gpt-4.1-mini,in-front,behind,0,medium,6.40,5
24,gpt-4.1-mini,in-front,left,0,medium,2.69,5
25,gpt-4.1-mini,in-front,behind,0,medium,5.75,5
26,gpt-4.1-mini,in-front,in-front-right,0,medium,2.82,5
27,gpt-4.1-mini,in-front,left,0,medium,4.25,5
28,gpt-4.1-mini,in-front,behind,0,medium,3.24,5
29,gpt-4.1-mini,in-front,in-front-left,0,medium,3.36,5
30,gpt-4.1-mini,in-front,in-front,1,medium,6.50,5
31,gpt-4.1-mini,in-front,behind,0,medium,2.84,5
32,gpt-4.1-mini,in-front,behind,0,medium,2.18,5
33,gpt-4.1-mini,in-front,behind,0,medium,2.39,5
34,gpt-4.1-mini,in-front,behind,0,medium,8.20,5
35,gpt-4.1-mini,in-front,right,0,medium,3.31,5
36,gpt-4.1-mini,in-front,behind,0,medium,3.28,5
37,gpt-4.1-mini,in-front,behind,0,medium,5.85,5
38,gpt-4.1-mini,in-front,in-front-right,0,medium,1.79,5
39,gpt-4.1-mini,in-front,left,0,medium,7.97,5
40,gpt-4.1-mini,in-front,behind,0,medium,5.22,5
41,gpt-4.1-mini,in-front,in-front,1,medium,1.93,5
42,gpt-4.1-mini,in-front,incorrect prompt,0,medium,6.60,5
43,gpt-4.1-mini,in-front,behind,0,medium,3.75,5
44,gpt-4.1-mini,in-front,in-front-left,0,medium,3.07,5
45,gpt-4.1-mini,in-front,behind,0,medium,4.69,5
46,gpt-4.1-mini,in-front,in-front-left,0,medium,2.78,5
47,gpt-4.1-mini,in-front,left,0,medium,2.05,5
48,gpt-4.1-mini,in-front,left,0,medium,2.89,5
49,gpt-4.1-mini,in-front,behind,0,medium,2.23,5
50,gpt-4.1-mini,in-front,behind,0,medium,3.79,5
51,gpt-4.1-mini,in-front-left,right,0,medium,3.73,5
52,gpt-4.1-mini,in-front-left,in-front,0,medium,4.43,5
53,gpt-4.1-mini,in-front-left,behind,0,medium,4.51,5
54,gpt-4.1-mini,in-front-left,left,0,medium,6.11,5
55,gpt-4.1-mini,in-front-left,left,0,medium,2.98,5
56,gpt-4.1-mini,in-front-left,in-front-right,0,medium,7.70,5
57,gpt-4.1-mini,in-front-left,behind,0,medium,3.34,5
58,gpt-4.1-mini,in-front-left,behind,0,medium,5.87,5
59,gpt-4.1-mini,in-front-left,behind,0,medium,2.18,5
60,gpt-4.1-mini,in-front-left,behind,0,medium,4.07,5
61,gpt-4.1-mini,in-front-left,right,0,medium,4.10,5
62,gpt-4.1-mini,in-front-left,behind,0,medium,4.17,5
63,gpt-4.1-mini,in-front-left,behind,0,medium,6.59,5
64,gpt-4.1-mini,in-front-left,behind,0,medium,2.96,5
65,gpt-4.1-mini,in-front-left,right,0,medium,4.04,5
66,gpt-4.1-mini,in-front-left,behind,0,medium,4.57,5
67,gpt-4.1-mini,in-front-left,in-front-right,0,medium,2.52,5
68,gpt-4.1-mini,in-front-left,in-front-left,1,medium,3.29,5
69,gpt-4.1-mini,in-front-left,behind,0,medium,3.06,5
70,gpt-4.1-mini,in-front-left,behind,0,medium,3.97,5
71,gpt-4.1-mini,in-front-left,behind,0,medium,4.10,5
72,gpt-4.1-mini,in-front-left,behind,0,medium,3.33,5
73,gpt-4.1-mini,in-front-left,behind,0,medium,4.03,5
74,gpt-4.1-mini,in-front-left,behind,0,medium,3.59,5
75,gpt-4.1-mini,in-front-left,right,0,medium,3.18,5
76,gpt-4.1-mini,in-front-left,in-front,0,medium,3.18,5
77,gpt-4.1-mini,in-front-left,right,0,medium,5.27,5
78,gpt-4.1-mini,in-front-left,behind,0,medium,3.88,5
79,gpt-4.1-mini,in-front-left,behind,0,medium,5.51,5
80,gpt-4.1-mini,in-front-left,behind,0,medium,5.49,5
81,gpt-4.1-mini,in-front-left,behind,0,medium,8.44,5
82,gpt-4.1-mini,in-front-left,behind,0,medium,13.32,5
83,gpt-4.1-mini,in-front-left,in-front,0,medium,5.19,5
84,gpt-4.1-mini,in-front-left,in-front-right,0,medium,4.03,5
85,gpt-4.1-mini,in-front-left,in-front-right,0,medium,3.80,5
86,gpt-4.1-mini,in-front-left,right,0,medium,3.65,5
87,gpt-4.1-mini,in-front-left,in-front,0,medium,2.94,5
88,gpt-4.1-mini,in-front-left,behind,0,medium,2.96,5
89,gpt-4.1-mini,in-front-left,behind,0,medium,5.68,5
90,gpt-4.1-mini,in-front-left,behind,0,medium,5.02,5
91,gpt-4.1-mini,in-front-left,behind,0,medium,3.39,5
92,gpt-4.1-mini,in-front-left,behind,0,medium,4.08,5
93,gpt-4.1-mini,in-front-left,in-front-right,0,medium,2.61,5
94,gpt-4.1-mini,in-front-left,behind,0,medium,4.17,5
95,gpt-4.1-mini,in-front-left,in-front,0,medium,3.39,5
96,gpt-4.1-mini,in-front-left,in-front-right,0,medium,2.51,5
97,gpt-4.1-mini,in-front-left,behind,0,medium,5.35,5
98,gpt-4.1-mini,in-front-left,in-front,0,medium,3.58,5
99,gpt-4.1-mini,in-front-left,behind,0,medium,4.03,5
100,gpt-4.1-mini,in-front-left,right,0,medium,4.40,5
101,gpt-4.1-mini,behind-right,in-front-left,0,medium,9.76,5
102,gpt-4.1-mini,behind-right,in-front,0,medium,3.47,5
103,gpt-4.1-mini,behind-right,behind,0,medium,4.52,5
104,gpt-4.1-mini,behind-right,left,0,medium,4.58,5
105,gpt-4.1-mini,behind-right,in-front,0,medium,2.51,5
106,gpt-4.1-mini,behind-right,in-front-right,0,medium,2.77,5
107,gpt-4.1-mini,behind-right,in-front-right,0,medium,7.16,5
108,gpt-4.1-mini,behind-right,left,0,medium,2.80,5
109,gpt-4.1-mini,behind-right,behind,0,medium,2.19,5
110,gpt-4.1-mini,behind-right,behind,0,medium,4.57,5
111,gpt-4.1-mini,behind-right,in-front,0,medium,3.57,5
112,gpt-4.1-mini,behind-right,left,0,medium,3.91,5
113,gpt-4.1-mini,behind-right,right,0,medium,3.00,5
114,gpt-4.1-mini,behind-right,in-front,0,medium,3.24,5
115,gpt-4.1-mini,behind-right,in-front-right,0,medium,3.83,5
116,gpt-4.1-mini,behind-right,in-front-left,0,medium,8.05,5
117,gpt-4.1-mini,behind-right,in-front-left,0,medium,3.63,5
118,gpt-4.1-mini,behind-right,behind,0,medium,3.84,5
119,gpt-4.1-mini,behind-right,in-front-right,0,medium,3.23,5
120,gpt-4.1-mini,behind-right,left,0,medium,4.34,5
121,gpt-4.1-mini,behind-right,in-front-left,0,medium,2.38,5
122,gpt-4.1-mini,behind-right,behind,0,medium,8.00,5
123,gpt-4.1-mini,behind-right,behind,0,medium,2.75,5
124,gpt-4.1-mini,behind-right,in-front-left,0,medium,2.97,5
125,gpt-4.1-mini,behind-right,in-front,0,medium,5.73,5
126,gpt-4.1-mini,behind-right,in-front-left,0,medium,6.58,5
127,gpt-4.1-mini,behind-right,behind,0,medium,6.48,5
128,gpt-4.1-mini,behind-right,in-front-left,0,medium,3.20,5
129,gpt-4.1-mini,behind-right,in-front-left,0,medium,2.40,5
130,gpt-4.1-mini,behind-right,in-front-left,0,medium,4.95,5
131,gpt-4.1-mini,behind-right,in-front,0,medium,4.25,5
132,gpt-4.1-mini,behind-right,in-front,0,medium,4.22,5
133,gpt-4.1-mini,behind-right,in-front-right,0,medium,4.22,5
134,gpt-4.1-mini,behind-right,in-front-right,0,medium,3.21,5
135,gpt-4.1-mini,behind-right,in-front-left,0,medium,3.37,5
136,gpt-4.1-mini,behind-right,in-front-right,0,medium,3.01,5
137,gpt-4.1-mini,behind-right,in-front-right,0,medium,3.75,5
138,gpt-4.1-mini,behind-right,behind,0,medium,4.65,5
139,gpt-4.1-mini,behind-right,in-front,0,medium,4.12,5
140,gpt-4.1-mini,behind-right,in-front-right,0,medium,2.77,5
141,gpt-4.1-mini,behind-right,left,0,medium,4.83,5
142,gpt-4.1-mini,behind-right,in-front-left,0,medium,4.05,5
143,gpt-4.1-mini,behind-right,in-front,0,medium,3.19,5
144,gpt-4.1-mini,behind-right,in-front,0,medium,4.85,5
145,gpt-4.1-mini,behind-right,behind,0,medium,2.66,5
146,gpt-4.1-mini,behind-right,in-front-left,0,medium,6.13,5
147,gpt-4.1-mini,behind-right,in-front,0,medium,6.07,5
148,gpt-4.1-mini,behind-right,in-front-left,0,medium,6.65,5
149,gpt-4.1-mini,behind-right,in-front,0,medium,3.37,5
150,gpt-4.1-mini,behind-right,in-front-right,0,medium,5.53,5
151,gpt-4.1-mini,right,in-front,0,medium,5.72,5
152,gpt-4.1-mini,right,right,1,medium,2.93,5
153,gpt-4.1-mini,right,left,0,medium,2.72,5
154,gpt-4.1-mini,right,in-front-left,0,medium,3.60,5
155,gpt-4.1-mini,right,left,0,medium,4.63,5
156,gpt-4.1-mini,right,in-front-left,0,medium,2.21,5
157,gpt-4.1-mini,right,right,1,medium,2.26,5
158,gpt-4.1-mini,right,in-front-left,0,medium,2.60,5
159,gpt-4.1-mini,right,in-front-left,0,medium,2.56,5
160,gpt-4.1-mini,right,behind,0,medium,3.10,5
161,gpt-4.1-mini,right,right,1,medium,2.23,5
162,gpt-4.1-mini,right,in-front-left,0,medium,2.76,5
163,gpt-4.1-mini,right,behind,0,medium,3.09,5
164,gpt-4.1-mini,right,in-front-right,0,medium,2.46,5
165,gpt-4.1-mini,right,in-front-left,0,medium,6.65,5
166,gpt-4.1-mini,right,left,0,medium,5.73,5
167,gpt-4.1-mini,right,in-front-left,0,medium,2.94,5
168,gpt-4.1-mini,right,behind,0,medium,3.83,5
169,gpt-4.1-mini,right,in-front-left,0,medium,3.12,5
170,gpt-4.1-mini,right,left,0,medium,3.17,5
171,gpt-4.1-mini,right,behind,0,medium,2.98,5
172,gpt-4.1-mini,right,left,0,medium,4.54,5
173,gpt-4.1-mini,right,in-front-left,0,medium,2.85,5
174,gpt-4.1-mini,right,behind,0,medium,2.56,5
175,gpt-4.1-mini,right,in-front-left,0,medium,3.40,5
176,gpt-4.1-mini,right,in-front-left,0,medium,3.45,5
177,gpt-4.1-mini,right,in-front-right,0,medium,2.62,5
178,gpt-4.1-mini,right,behind,0,medium,3.24,5
179,gpt-4.1-mini,right,in-front-left,0,medium,2.15,5
180,gpt-4.1-mini,right,behind,0,medium,3.38,5
181,gpt-4.1-mini,right,in-front-left,0,medium,4.88,5
182,gpt-4.1-mini,right,in-front-left,0,medium,3.31,5
183,gpt-4.1-mini,right,behind,0,medium,4.14,5
184,gpt-4.1-mini,right,in-front-left,0,medium,3.50,5
185,gpt-4.1-mini,right,behind,0,medium,6.20,5
186,gpt-4.1-mini,right,right,1,medium,2.44,5
187,gpt-4.1-mini,right,in-front-right,0,medium,3.16,5
188,gpt-4.1-mini,right,behind,0,medium,2.97,5
189,gpt-4.1-mini,right,in-front-left,0,medium,3.19,5
190,gpt-4.1-mini,right,right,1,medium,2.37,5
191,gpt-4.1-mini,right,in-front-right,0,medium,2.23,5
192,gpt-4.1-mini,right,right,1,medium,2.27,5
193,gpt-4.1-mini,right,in-front-left,0,medium,2.95,5
194,gpt-4.1-mini,right,left,0,medium,3.38,5
195,gpt-4.1-mini,right,in-front-left,0,medium,2.35,5
196,gpt-4.1-mini,right,in-front-left,0,medium,5.52,5
197,gpt-4.1-mini,right,in-front,0,medium,2.51,5
198,gpt-4.1-mini,right,in-front-right,0,medium,1.93,5
199,gpt-4.1-mini,right,left,0,medium,2.82,5
200,gpt-4.1-mini,right,behind,0,medium,2.91,5
201,gpt-4.1-mini,left,in-front-right,0,medium,4.95,5
202,gpt-4.1-mini,left,left,1,medium,2.48,5
203,gpt-4.1-mini,left,in-front-right,0,medium,7.07,5
204,gpt-4.1-mini,left,behind,0,medium,3.44,5
205,gpt-4.1-mini,left,in-front-left,0,medium,2.97,5
206,gpt-4.1-mini,left,behind,0,medium,2.78,5
207,gpt-4.1-mini,left,in-front,0,medium,4.39,5
208,gpt-4.1-mini,left,behind,0,medium,3.37,5
209,gpt-4.1-mini,left,in-front-right,0,medium,3.70,5
210,gpt-4.1-mini,left,behind,0,medium,2.60,5
211,gpt-4.1-mini,left,behind,0,medium,4.08,5
212,gpt-4.1-mini,left,behind,0,medium,2.04,5
213,gpt-4.1-mini,left,right,0,medium,3.13,5
214,gpt-4.1-mini,left,in-front-left,0,medium,3.75,5
215,gpt-4.1-mini,left,behind,0,medium,2.95,5
216,gpt-4.1-mini,left,in-front,0,medium,3.96,5
217,gpt-4.1-mini,left,behind,0,medium,5.50,5
218,gpt-4.1-mini,left,right,0,medium,2.03,5
219,gpt-4.1-mini,left,behind,0,medium,2.38,5
220,gpt-4.1-mini,left,behind,0,medium,7.79,5
221,gpt-4.1-mini,left,behind,0,medium,2.49,5
222,gpt-4.1-mini,left,behind,0,medium,2.78,5
223,gpt-4.1-mini,left,in-front-right,0,medium,2.26,5
224,gpt-4.1-mini,left,right,0,medium,3.52,5
225,gpt-4.1-mini,left,in-front-right,0,medium,2.36,5
226,gpt-4.1-mini,left,behind,0,medium,3.52,5
227,gpt-4.1-mini,left,in-front-right,0,medium,2.37,5
228,gpt-4.1-mini,left,behind,0,medium,2.50,5
229,gpt-4.1-mini,left,behind,0,medium,2.76,5
230,gpt-4.1-mini,left,behind,0,medium,6.41,5
231,gpt-4.1-mini,left,in-front-right,0,medium,4.18,5
232,gpt-4.1-mini,left,in-front-right,0,medium,4.14,5
233,gpt-4.1-mini,left,behind,0,medium,3.06,5
234,gpt-4.1-mini,left,behind,0,medium,3.71,5
235,gpt-4.1-mini,left,behind,0,medium,3.33,5
236,gpt-4.1-mini,left,in-front,0,medium,2.09,5
237,gpt-4.1-mini,left,behind,0,medium,2.40,5
238,gpt-4.1-mini,left,right,0,medium,2.67,5
239,gpt-4.1-mini,left,in-front-right,0,medium,5.74,5
240,gpt-4.1-mini,left,behind,0,medium,4.38,5
241,gpt-4.1-mini,left,in-front,0,medium,2.83,5
242,gpt-4.1-mini,left,right,0,medium,3.27,5
243,gpt-4.1-mini,left,in-front-right,0,medium,3.52,5
244,gpt-4.1-mini,left,in-front,0,medium,2.15,5
245,gpt-4.1-mini,left,behind,0,medium,4.51,5
246,gpt-4.1-mini,left,behind,0,medium,3.38,5
247,gpt-4.1-mini,left,right,0,medium,2.42,5
248,gpt-4.1-mini,left,in-front-right,0,medium,2.43,5
249,gpt-4.1-mini,left,behind,0,medium,2.00,5
250,gpt-4.1-mini,left,in-front,0,medium,2.60,5
251,gpt-4.1-mini,behind-left,right,0,medium,2.61,5
252,gpt-4.1-mini,behind-left,in-front-left,0,medium,3.37,5
253,gpt-4.1-mini,behind-left,behind,0,medium,3.75,5
254,gpt-4.1-mini,behind-left,in-front,0,medium,2.30,5
255,gpt-4.1-mini,behind-left,in-front,0,medium,4.92,5
256,gpt-4.1-mini,behind-left,in-front-right,0,medium,3.75,5
257,gpt-4.1-mini,behind-left,right,0,medium,3.43,5
258,gpt-4.1-mini,behind-left,in-front-left,0,medium,2.32,5
259,gpt-4.1-mini,behind-left,in-front-right,0,medium,4.65,5
260,gpt-4.1-mini,behind-left,in-front-left,0,medium,7.39,5
261,gpt-4.1-mini,behind-left,in-front-left,0,medium,5.78,5
262,gpt-4.1-mini,behind-left,right,0,medium,4.50,5
263,gpt-4.1-mini,behind-left,behind,0,medium,5.31,5
264,gpt-4.1-mini,behind-left,in-front-left,0,medium,4.48,5
265,gpt-4.1-mini,behind-left,behind,0,medium,3.59,5
266,gpt-4.1-mini,behind-left,in-front,0,medium,3.16,5
