prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,gpt-4.1-mini,right,right,1,low,1.15,5
2,gpt-4.1-mini,right,in-front,0,low,1.82,5
3,gpt-4.1-mini,right,in-front,0,low,1.82,5
4,gpt-4.1-mini,right,behind,0,low,1.95,5
5,gpt-4.1-mini,right,right,1,low,2.69,5
6,gpt-4.1-mini,right,in-front,0,low,2.46,5
7,gpt-4.1-mini,right,in-front,0,low,2.64,5
8,gpt-4.1-mini,right,left,0,low,6.14,5
9,gpt-4.1-mini,right,right,1,low,1.39,5
10,gpt-4.1-mini,right,left,0,low,2.65,5
11,gpt-4.1-mini,right,in-front,0,low,2.12,5
12,gpt-4.1-mini,right,left,0,low,1.92,5
13,gpt-4.1-mini,right,in-front,0,low,1.13,5
14,gpt-4.1-mini,right,right,1,low,1.29,5
15,gpt-4.1-mini,right,behind,0,low,1.93,5
16,gpt-4.1-mini,right,in-front-right,0,low,1.24,5
17,gpt-4.1-mini,right,right,1,low,1.66,5
18,gpt-4.1-mini,right,in-front,0,low,2.01,5
19,gpt-4.1-mini,right,in-front,0,low,1.88,5
20,gpt-4.1-mini,right,in-front,0,low,2.22,5
21,gpt-4.1-mini,behind-right,in-front,0,low,2.06,5
22,gpt-4.1-mini,behind-right,left,0,low,1.92,5
23,gpt-4.1-mini,behind-right,left,0,low,1.99,5
24,gpt-4.1-mini,behind-right,behind,0,low,1.96,5
25,gpt-4.1-mini,behind-right,left,0,low,1.72,5
26,gpt-4.1-mini,behind-right,in-front,0,low,1.70,5
27,gpt-4.1-mini,behind-right,right,0,low,2.82,5
28,gpt-4.1-mini,behind-right,in-front,0,low,2.03,5
29,gpt-4.1-mini,behind-right,in-front,0,low,1.87,5
30,gpt-4.1-mini,behind-right,in-front,0,low,3.06,5
31,gpt-4.1-mini,behind-right,in-front,0,low,1.49,5
32,gpt-4.1-mini,behind-right,in-front,0,low,1.74,5
33,gpt-4.1-mini,behind-right,in-front,0,low,2.51,5
