prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,deepSeek-v3,in-front,left,0,medium,8.70,5
2,deepSeek-v3,in-front,right,0,medium,11.62,5
3,deepSeek-v3,in-front,behind,0,medium,8.68,5
4,deepSeek-v3,in-front,behind,0,medium,6.39,5
5,deepSeek-v3,in-front,in-front,1,medium,5.13,5
6,deepSeek-v3,in-front,in-front-right,0,medium,9.82,5
7,deepSeek-v3,in-front,left,0,medium,22.55,5
8,deepSeek-v3,in-front,right,0,medium,19.53,5
9,deepSeek-v3,in-front,in-front,1,medium,11.33,5
10,deepSeek-v3,in-front,left,0,medium,4.35,5
11,deepSeek-v3,in-front,right,0,medium,26.72,5
12,deepSeek-v3,in-front,left,0,medium,8.09,5
13,deepSeek-v3,in-front,right,0,medium,6.27,5
14,deepSeek-v3,in-front,in-front,1,medium,13.28,5
15,deepSeek-v3,in-front,right,0,medium,9.64,5
16,deepSeek-v3,in-front,left,0,medium,15.31,5
17,deepSeek-v3,in-front,in-front,1,medium,10.30,5
18,deepSeek-v3,in-front,behind,0,medium,7.68,5
19,deepSeek-v3,in-front,in-front,1,medium,8.32,5
20,deepSeek-v3,in-front,in-front,1,medium,4.18,5
21,deepSeek-v3,in-front,in-front,1,medium,8.71,5
22,deepSeek-v3,in-front,behind,0,medium,19.87,5
23,deepSeek-v3,in-front,in-front,1,medium,17.59,5
24,deepSeek-v3,in-front,right,0,medium,16.81,5
25,deepSeek-v3,in-front,behind,0,medium,12.90,5
26,deepSeek-v3,in-front,right,0,medium,10.13,5
27,deepSeek-v3,in-front,behind,0,medium,6.24,5
28,deepSeek-v3,in-front,behind,0,medium,8.20,5
29,deepSeek-v3,in-front,in-front,1,medium,6.77,5
30,deepSeek-v3,in-front,left,0,medium,5.21,5
31,deepSeek-v3,in-front,error,0,medium,60.20,5
32,deepSeek-v3,in-front,behind,0,medium,17.96,5
33,deepSeek-v3,in-front,in-front,1,medium,7.38,5
34,deepSeek-v3,in-front,in-front,1,medium,7.99,5
35,deepSeek-v3,in-front,in-front,1,medium,13.12,5
36,deepSeek-v3,in-front,in-front,1,medium,5.57,5
37,deepSeek-v3,in-front,in-front,1,medium,6.98,5
38,deepSeek-v3,in-front,left,0,medium,14.93,5
39,deepSeek-v3,in-front,left,0,medium,6.57,5
40,deepSeek-v3,in-front,behind,0,medium,6.84,5
41,deepSeek-v3,in-front,behind,0,medium,5.16,5
42,deepSeek-v3,in-front,right,0,medium,41.13,5
43,deepSeek-v3,in-front,behind,0,medium,4.09,5
44,deepSeek-v3,in-front,left,0,medium,6.14,5
45,deepSeek-v3,in-front,behind,0,medium,14.78,5
46,deepSeek-v3,in-front,left,0,medium,38.37,5
47,deepSeek-v3,in-front,left,0,medium,8.93,5
48,deepSeek-v3,in-front,right,0,medium,27.43,5
49,deepSeek-v3,in-front,behind,0,medium,24.67,5
50,deepSeek-v3,in-front,in-front,1,medium,6.75,5
51,deepSeek-v3,in-front-left,right,0,medium,4.31,5
52,deepSeek-v3,in-front-left,in-front,0,medium,9.51,5
53,deepSeek-v3,in-front-left,right,0,medium,7.91,5
54,deepSeek-v3,in-front-left,left,0,medium,14.62,5
55,deepSeek-v3,in-front-left,left,0,medium,5.80,5
56,deepSeek-v3,in-front-left,in-front-right,0,medium,3.78,5
57,deepSeek-v3,in-front-left,in-front,0,medium,6.65,5
58,deepSeek-v3,in-front-left,in-front,0,medium,5.28,5
59,deepSeek-v3,in-front-left,right,0,medium,19.78,5
60,deepSeek-v3,in-front-left,behind,0,medium,9.35,5
61,deepSeek-v3,in-front-left,right,0,medium,4.92,5
62,deepSeek-v3,in-front-left,right,0,medium,7.27,5
63,deepSeek-v3,in-front-left,left,0,medium,13.45,5
64,deepSeek-v3,in-front-left,behind,0,medium,5.71,5
65,deepSeek-v3,in-front-left,right,0,medium,6.74,5
66,deepSeek-v3,in-front-left,error,0,medium,60.24,5
67,deepSeek-v3,in-front-left,in-front-right,0,medium,18.31,5
68,deepSeek-v3,in-front-left,right,0,medium,16.26,5
69,deepSeek-v3,in-front-left,right,0,medium,36.84,5
70,deepSeek-v3,in-front-left,right,0,medium,20.24,5
71,deepSeek-v3,in-front-left,behind,0,medium,11.18,5
72,deepSeek-v3,in-front-left,in-front,0,medium,24.73,5
73,deepSeek-v3,in-front-left,right,0,medium,24.55,5
74,deepSeek-v3,in-front-left,error,0,medium,60.21,5
75,deepSeek-v3,in-front-left,right,0,medium,11.70,5
76,deepSeek-v3,in-front-left,in-front,0,medium,10.23,5
77,deepSeek-v3,in-front-left,error,0,medium,60.19,5
78,deepSeek-v3,in-front-left,in-front,0,medium,7.69,5
79,deepSeek-v3,in-front-left,right,0,medium,55.47,5
80,deepSeek-v3,in-front-left,behind,0,medium,30.50,5
81,deepSeek-v3,in-front-left,left,0,medium,9.39,5
82,deepSeek-v3,in-front-left,behind,0,medium,16.01,5
83,deepSeek-v3,in-front-left,in-front,0,medium,16.60,5
84,deepSeek-v3,in-front-left,left,0,medium,5.31,5
85,deepSeek-v3,in-front-left,left,0,medium,6.76,5
86,deepSeek-v3,in-front-left,right,0,medium,9.73,5
87,deepSeek-v3,in-front-left,in-front,0,medium,12.55,5
88,deepSeek-v3,in-front-left,behind,0,medium,7.11,5
89,deepSeek-v3,in-front-left,right,0,medium,58.47,5
90,deepSeek-v3,in-front-left,in-front,0,medium,47.07,5
91,deepSeek-v3,in-front-left,left,0,medium,7.58,5
92,deepSeek-v3,in-front-left,in-front,0,medium,10.17,5
93,deepSeek-v3,in-front-left,left,0,medium,6.86,5
94,deepSeek-v3,in-front-left,in-front,0,medium,17.51,5
