prompt_id,model,expected_answer,predicted_answer,is_correct,complexity_level,time_taken,grid_size
1,gpt-4.1,in-front,behind,0,medium,7.24,5
2,gpt-4.1,in-front,behind,0,medium,5.62,5
3,gpt-4.1,in-front,behind,0,medium,4.34,5
4,gpt-4.1,in-front,behind,0,medium,5.81,5
5,gpt-4.1,in-front,in-front-left,0,medium,6.06,5
6,gpt-4.1,in-front,in-front-right,0,medium,4.97,5
7,gpt-4.1,in-front,behind,0,medium,11.29,5
8,gpt-4.1,in-front,behind,0,medium,5.91,5
9,gpt-4.1,in-front,right,0,medium,4.82,5
10,gpt-4.1,in-front,behind,0,medium,6.17,5
11,gpt-4.1,in-front,in-front,1,medium,5.21,5
12,gpt-4.1,in-front,in-front,1,medium,2.50,5
13,gpt-4.1,in-front,behind,0,medium,3.11,5
14,gpt-4.1,in-front,right,0,medium,5.78,5
15,gpt-4.1,in-front,right,0,medium,6.33,5
16,gpt-4.1,in-front,behind,0,medium,3.20,5
17,gpt-4.1,in-front,in-front,1,medium,1.69,5
18,gpt-4.1,in-front,in-front,1,medium,3.53,5
19,gpt-4.1,in-front,behind,0,medium,3.12,5
20,gpt-4.1,in-front,behind,0,medium,7.61,5
21,gpt-4.1,in-front,in-front,1,medium,2.57,5
22,gpt-4.1,in-front,left,0,medium,4.13,5
23,gpt-4.1,in-front,behind,0,medium,3.84,5
24,gpt-4.1,in-front,left,0,medium,6.22,5
25,gpt-4.1,in-front,behind,0,medium,6.99,5
26,gpt-4.1,in-front,in-front,1,medium,3.83,5
27,gpt-4.1,in-front,left,0,medium,5.76,5
28,gpt-4.1,in-front,in-front,1,medium,5.89,5
29,gpt-4.1,in-front,in-front,1,medium,5.01,5
30,gpt-4.1,in-front,in-front,1,medium,4.57,5
31,gpt-4.1,in-front,in-front,1,medium,3.46,5
32,gpt-4.1,in-front,behind,0,medium,3.19,5
33,gpt-4.1,in-front,in-front,1,medium,3.21,5
34,gpt-4.1,in-front,behind,0,medium,3.40,5
35,gpt-4.1,in-front,right,0,medium,6.02,5
36,gpt-4.1,in-front,behind,0,medium,2.92,5
37,gpt-4.1,in-front,in-front,1,medium,7.72,5
38,gpt-4.1,in-front,in-front,1,medium,2.56,5
39,gpt-4.1,in-front,left,0,medium,5.93,5
40,gpt-4.1,in-front,behind,0,medium,16.47,5
41,gpt-4.1,in-front,in-front,1,medium,4.09,5
42,gpt-4.1,in-front,behind,0,medium,5.22,5
43,gpt-4.1,in-front,in-front,1,medium,5.88,5
44,gpt-4.1,in-front,in-front-left,0,medium,5.51,5
45,gpt-4.1,in-front,in-front,1,medium,4.82,5
46,gpt-4.1,in-front,in-front,1,medium,6.18,5
47,gpt-4.1,in-front,in-front,1,medium,4.20,5
48,gpt-4.1,in-front,left,0,medium,7.68,5
49,gpt-4.1,in-front,behind,0,medium,3.85,5
50,gpt-4.1,in-front,behind,0,medium,5.05,5
51,gpt-4.1,in-front-left,in-front,0,medium,8.53,5
52,gpt-4.1,in-front-left,left,0,medium,7.46,5
53,gpt-4.1,in-front-left,in-front,0,medium,7.57,5
54,gpt-4.1,in-front-left,in-front,0,medium,4.36,5
55,gpt-4.1,in-front-left,left,0,medium,3.28,5
56,gpt-4.1,in-front-left,in-front,0,medium,2.91,5
57,gpt-4.1,in-front-left,in-front,0,medium,3.43,5
58,gpt-4.1,in-front-left,in-front,0,medium,4.19,5
59,gpt-4.1,in-front-left,behind,0,medium,6.75,5
60,gpt-4.1,in-front-left,behind,0,medium,4.55,5
61,gpt-4.1,in-front-left,right,0,medium,7.68,5
62,gpt-4.1,in-front-left,behind,0,medium,7.94,5
63,gpt-4.1,in-front-left,behind,0,medium,5.93,5
64,gpt-4.1,in-front-left,in-front,0,medium,3.14,5
65,gpt-4.1,in-front-left,right,0,medium,4.87,5
66,gpt-4.1,in-front-left,behind,0,medium,2.97,5
67,gpt-4.1,in-front-left,in-front,0,medium,2.38,5
68,gpt-4.1,in-front-left,in-front,0,medium,6.92,5
69,gpt-4.1,in-front-left,left,0,medium,3.50,5
70,gpt-4.1,in-front-left,in-front,0,medium,4.28,5
71,gpt-4.1,in-front-left,right,0,medium,7.75,5
72,gpt-4.1,in-front-left,behind,0,medium,4.34,5
73,gpt-4.1,in-front-left,left,0,medium,7.82,5
74,gpt-4.1,in-front-left,left,0,medium,5.10,5
75,gpt-4.1,in-front-left,right,0,medium,3.75,5
76,gpt-4.1,in-front-left,in-front,0,medium,5.39,5
77,gpt-4.1,in-front-left,in-front,0,medium,7.17,5
78,gpt-4.1,in-front-left,in-front,0,medium,3.55,5
79,gpt-4.1,in-front-left,in-front,0,medium,4.80,5
80,gpt-4.1,in-front-left,in-front,0,medium,3.05,5
81,gpt-4.1,in-front-left,right,0,medium,8.06,5
82,gpt-4.1,in-front-left,behind,0,medium,6.23,5
83,gpt-4.1,in-front-left,in-front,0,medium,3.14,5
84,gpt-4.1,in-front-left,in-front,0,medium,6.35,5
85,gpt-4.1,in-front-left,in-front-right,0,medium,8.65,5
86,gpt-4.1,in-front-left,right,0,medium,8.44,5
87,gpt-4.1,in-front-left,in-front,0,medium,3.65,5
88,gpt-4.1,in-front-left,right,0,medium,3.28,5
89,gpt-4.1,in-front-left,behind,0,medium,6.08,5
90,gpt-4.1,in-front-left,in-front,0,medium,3.02,5
91,gpt-4.1,in-front-left,in-front,0,medium,3.74,5
92,gpt-4.1,in-front-left,in-front,0,medium,5.93,5
93,gpt-4.1,in-front-left,in-front,0,medium,6.96,5
94,gpt-4.1,in-front-left,in-front-right,0,medium,5.49,5
95,gpt-4.1,in-front-left,in-front,0,medium,3.77,5
96,gpt-4.1,in-front-left,right,0,medium,3.44,5
97,gpt-4.1,in-front-left,in-front,0,medium,4.51,5
98,gpt-4.1,in-front-left,in-front,0,medium,8.13,5
99,gpt-4.1,in-front-left,behind,0,medium,5.03,5
100,gpt-4.1,in-front-left,in-front,0,medium,3.83,5
101,gpt-4.1,behind-right,in-front,0,medium,5.98,5
102,gpt-4.1,behind-right,in-front,0,medium,4.52,5
103,gpt-4.1,behind-right,left,0,medium,5.36,5
104,gpt-4.1,behind-right,left,0,medium,4.11,5
